[0]=K0; [1]=0; [2]=0; [3]=0; [4]=0; [5]=0; [6]=0; [7]=0; [8]=0; [9]=0; [10]=0; [11]=0; [12]=0; [13]=0; [14]=0; [15]=0; [16]=0; [17]=0; [18]=0; [19]=0; [20]=0; [21]=0
[0]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [1]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [2]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [3]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [4]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [5]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [6]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [7]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [8]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [9]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [10]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [11]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [12]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [13]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [14]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [15]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [16]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [17]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [18]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [19]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [20]=K1 ⊕ K21 ⊕ K22 ⊕ K43; [21]=K0 ⊕ K20 ⊕ K21 ⊕ K42
[0]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [1]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [2]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [3]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [4]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [5]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [6]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [7]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [8]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [9]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [10]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [11]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [12]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [13]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [14]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [15]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [16]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [17]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [18]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [19]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [20]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44; [21]=K1 ⊕ K21 ⊕ K22 ⊕ K43
[0]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [1]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [2]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [3]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [4]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [5]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [6]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [7]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [8]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [9]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [10]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [11]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [12]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [13]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [14]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [15]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [16]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [17]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [18]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [19]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [20]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45; [21]=K0 ⊕ K2 ⊕ K22 ⊕ K23 ⊕ K44
[0]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [1]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [2]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [3]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [4]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [5]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [6]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [7]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [8]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [9]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [10]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [11]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [12]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [13]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [14]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [15]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [16]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [17]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [18]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [19]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [20]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46; [21]=K1 ⊕ K3 ⊕ K23 ⊕ K24 ⊕ K45
[0]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [1]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [2]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [3]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [4]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [5]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [6]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [7]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [8]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [9]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [10]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [11]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [12]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [13]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [14]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [15]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [16]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [17]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [18]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [19]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [20]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47; [21]=K2 ⊕ K4 ⊕ K24 ⊕ K25 ⊕ K46
[0]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [1]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [2]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [3]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [4]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [5]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [6]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [7]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [8]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [9]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [10]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [11]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [12]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [13]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [14]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [15]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [16]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [17]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [18]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [19]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [20]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48; [21]=K3 ⊕ K5 ⊕ K25 ⊕ K26 ⊕ K47
[0]=F5 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K25 ⊕ K27 ⊕ K47 ⊕ K48; [1]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [2]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [3]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [4]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [5]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [6]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [7]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [8]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [9]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [10]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [11]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [12]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [13]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [14]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [15]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [16]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [17]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [18]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [19]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [20]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49; [21]=K4 ⊕ K6 ⊕ K26 ⊕ K27 ⊕ K48
[0]=F6 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K26 ⊕ K28 ⊕ K48 ⊕ K49; [1]=F5 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K25 ⊕ K27 ⊕ K47 ⊕ K48; [2]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [3]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [4]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [5]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [6]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [7]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [8]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [9]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [10]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [11]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [12]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [13]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [14]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [15]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [16]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [17]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [18]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [19]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [20]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50; [21]=K5 ⊕ K7 ⊕ K27 ⊕ K28 ⊕ K49
[0]=F7 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K27 ⊕ K29 ⊕ K49 ⊕ K50; [1]=F6 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K26 ⊕ K28 ⊕ K48 ⊕ K49; [2]=F5 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K25 ⊕ K27 ⊕ K47 ⊕ K48; [3]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [4]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [5]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [6]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [7]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [8]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [9]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [10]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [11]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [12]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [13]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [14]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [15]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [16]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [17]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [18]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [19]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [20]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51; [21]=K6 ⊕ K8 ⊕ K28 ⊕ K29 ⊕ K50
[0]=F8 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K9 ⊕ K28 ⊕ K30 ⊕ K50 ⊕ K51; [1]=F7 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K27 ⊕ K29 ⊕ K49 ⊕ K50; [2]=F6 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K26 ⊕ K28 ⊕ K48 ⊕ K49; [3]=F5 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K25 ⊕ K27 ⊕ K47 ⊕ K48; [4]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [5]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [6]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [7]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [8]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [9]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [10]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [11]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [12]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [13]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [14]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [15]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [16]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [17]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [18]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [19]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [20]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52; [21]=K7 ⊕ K9 ⊕ K29 ⊕ K30 ⊕ K51
[0]=F9 ⊕ K7 ⊕ K8 ⊕ K9 ⊕ K10 ⊕ K29 ⊕ K31 ⊕ K51 ⊕ K52; [1]=F8 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K9 ⊕ K28 ⊕ K30 ⊕ K50 ⊕ K51; [2]=F7 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K27 ⊕ K29 ⊕ K49 ⊕ K50; [3]=F6 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K26 ⊕ K28 ⊕ K48 ⊕ K49; [4]=F5 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K25 ⊕ K27 ⊕ K47 ⊕ K48; [5]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [6]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [7]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [8]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [9]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [10]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [11]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [12]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [13]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [14]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [15]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [16]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [17]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [18]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [19]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [20]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53; [21]=K8 ⊕ K10 ⊕ K30 ⊕ K31 ⊕ K52
[0]=F10 ⊕ K8 ⊕ K9 ⊕ K10 ⊕ K11 ⊕ K30 ⊕ K32 ⊕ K52 ⊕ K53; [1]=F9 ⊕ K7 ⊕ K8 ⊕ K9 ⊕ K10 ⊕ K29 ⊕ K31 ⊕ K51 ⊕ K52; [2]=F8 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K9 ⊕ K28 ⊕ K30 ⊕ K50 ⊕ K51; [3]=F7 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K27 ⊕ K29 ⊕ K49 ⊕ K50; [4]=F6 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K26 ⊕ K28 ⊕ K48 ⊕ K49; [5]=F5 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K25 ⊕ K27 ⊕ K47 ⊕ K48; [6]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [7]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [8]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [9]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [10]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [11]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [12]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [13]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [14]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [15]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [16]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [17]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [18]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [19]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [20]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54; [21]=K9 ⊕ K11 ⊕ K31 ⊕ K32 ⊕ K53
[0]=F11 ⊕ K9 ⊕ K10 ⊕ K11 ⊕ K12 ⊕ K31 ⊕ K33 ⊕ K53 ⊕ K54; [1]=F10 ⊕ K8 ⊕ K9 ⊕ K10 ⊕ K11 ⊕ K30 ⊕ K32 ⊕ K52 ⊕ K53; [2]=F9 ⊕ K7 ⊕ K8 ⊕ K9 ⊕ K10 ⊕ K29 ⊕ K31 ⊕ K51 ⊕ K52; [3]=F8 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K9 ⊕ K28 ⊕ K30 ⊕ K50 ⊕ K51; [4]=F7 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K8 ⊕ K27 ⊕ K29 ⊕ K49 ⊕ K50; [5]=F6 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K7 ⊕ K26 ⊕ K28 ⊕ K48 ⊕ K49; [6]=F5 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K6 ⊕ K25 ⊕ K27 ⊕ K47 ⊕ K48; [7]=F4 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K5 ⊕ K24 ⊕ K26 ⊕ K46 ⊕ K47; [8]=F3 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K4 ⊕ K23 ⊕ K25 ⊕ K45 ⊕ K46; [9]=F2 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K3 ⊕ K22 ⊕ K24 ⊕ K44 ⊕ K45; [10]=F1 ⊕ K0 ⊕ K1 ⊕ K2 ⊕ K21 ⊕ K23 ⊕ K43 ⊕ K44; [11]=F0 ⊕ K0 ⊕ K1 ⊕ K20 ⊕ K22 ⊕ K42 ⊕ K43; [12]=K0 ⊕ K19 ⊕ K21 ⊕ K41 ⊕ K42 ⊕ K63; [13]=K18 ⊕ K20 ⊕ K40 ⊕ K41 ⊕ K62; [14]=K17 ⊕ K19 ⊕ K39 ⊕ K40 ⊕ K61; [15]=K16 ⊕ K18 ⊕ K38 ⊕ K39 ⊕ K60; [16]=K15 ⊕ K17 ⊕ K37 ⊕ K38 ⊕ K59; [17]=K14 ⊕ K16 ⊕ K36 ⊕ K37 ⊕ K58; [18]=K13 ⊕ K15 ⊕ K35 ⊕ K36 ⊕ K57; [19]=K12 ⊕ K14 ⊕ K34 ⊕ K35 ⊕ K56; [20]=K11 ⊕ K13 ⊕ K33 ⊕ K34 ⊕ K55; [21]=K10 ⊕ K12 ⊕ K32 ⊕ K33 ⊕ K54
